RESIDENTIAL PROJECTS,,,,,,,,,
PROJECTS,LOCATION,LAND AREA,NO. OF TOWERS,FLOORS,UNITS,CONFIGURATION,SIZES WITH PRICE,STATUS,RERA NO.
NPR VISAAYA,"Phoolbagan, EM Bypass",73 KATHA,1,B+G+19,45,"4BHK, 5BHK, DUPLEX, TRIPLEX","4BHK- 3,100 - 3,600 sq ft (₹ 4.68 Cr Onwards )                                                               5BHK- 4,100 sq ft (₹ 5.95 Cr Onwards)","UC, Dec 2028",WBRERA/P/KOL/2024/001349
PRIMARC AADVIKA,"Foreshore road, Howrah",3 Acres,3,"G+24, G+25",182,"3BHK, 3.5BHK, 4BHK, 4.5BHK, 5BHK","3BHK Simplex - 1,539 - 1,660 sq ft (₹ 2.70 Cr Onwards)
3.5BHK Simplex- 1,775 - 1,794 sq ft (₹ 3 Cr Onwards)
4BHK Simplex- 1,895 - 1,908 sq ft (₹ 3.25 Cr Onwards)
4.5BHK Simplex- 2,257 - 2,324 sq ft (₹ 4.05 Cr Onwards)
5BHK Simplex- 2,545 - 2,577 sq ft (₹ 4.45 Cr Onwards)
3.5BHK Duplex- 3,155 sq ft (₹ 5.75 Cr Onwards)
4BHK Duplex- 3,346 sq ft (₹ 6.10 Cr Onwards)","UC, Dec 2030",WBRERA/P/HOW/2025/003467
MIRANIA EVARA,"Metro Cash & Carry, EM Bypass",52 Katha,1,B+G+18,86,3BHK & 4BHK,"3BHK- 1,500 - 1,600 sq ft (₹ 1.92 Cr Onwards)                                                   4BHK- 2,200 - 2,500 sq ft (₹ 3 Cr Onwards)","UC, Jun 2030",WBRERA/P/KOL/2025/002422
MERLIN NIYASA,"Ruby, EM Bypass",3.23Acres,2,G+28,152,"3.5BHK, 4BHK, 4.5BHK","3.5BHK+3T- 1,996 sq ft (₹ 3.90 Cr Onwards)
4BHK+4T- 2,841 sq ft (₹ 4.25 Cr Onwards)
4BHK+Study+4T- 3,299 sq ft (₹ 4.90 Cr Onwards)","UC, Jun 2030",WBRERA/P/KOL/2024/002243
SKDJ NIDHARA,"Buroshibtalla, New Alipore",2.4Acres,3,"B+G+21, B+G+15",115,"3BHK, 4BHK, 5BHK","3BHK- 1,914 - 3,097 sq ft (₹ 2.40 Cr - 3.70 Cr)
4BHK- 2,608 - 3,532 sq ft (₹ 3.18 Cr - 3.90 Cr)
5BHK- 3,627 - 3,645 sq ft (₹ 4.46 Cr - 4.50 Cr)","UC, Dec 2031",WBRERA/P/KOL/2025/002345
PS AURUS,"Science City, ITC Royal, EM Bypass",3.67 Acre,2,G+33 & G+34,162,"3BHK, 4BHK, 5BHK","3 BHK+3T- 2,358 sq ft 
4 BHK- 2,822 sq ft 
5 BHK Duplex- 3,975 sq ft                   PRICE ON REQUEST",RTM,
PS SANSARA,"Gola Bari, Howrah",17.41 Acre,5,G+38 & G+40,700,"3BHK, 4BHK, 4.5BHK, 5BHK","3BHK- 2,514 - 2,580 sq ft (₹ 3.50 Cr - 3.75 Cr)
4BHK- 3,272 sq ft (₹ 4.15 Cr - 4.65 Cr)
4.5BHK+Study- 3,365 sq ft (₹ 4.25 Cr - 4.80 Cr)
5BHK(Duplex)- 4,883 sq ft (₹ 6.15 Cr - 6.75 Cr)","UC, Oct 2029",WBRERA/P/HOW/2024/001857
PS QUINTESSA," Kankurgachi, EM Bypass",87 Katha,2,G+16,80,"4, 5, 6 BHK","4BHK- 2,354 - 2,781 sq ft (₹ 3.76 Cr Onwards)
5BHK+Duplex+Penthouse- 4,089 - 5,033 sq ft (₹ 6.94 Cr Onward)s
6BHK+Duplex+Penthouse- 4,518 - 6,049 sq ft (₹ 7.79 Cr Onwards)","UC, Apr 2028",WBRERA/P/KOL/2023/000776
MERLIN F RESIDENCY,"Jogardanga More, Rajarhat",8 Acre,10,B+G+13 & B+G+12,1000,"3BHK,  4BHK","3BHK+3T- 1,074 - 1,277 sq ft (₹ 1.67 Cr Onwards)
4BHK+3T- 1,407 - 1,555 sq ft (₹ 2.07 Cr Onwards)","UC, Jun 2030",WBRERA/P/NOR/2024/002220
PS NAVYOM,"Buroshibtala, Alipore",7.42 Acre,9,B+G+11,292,,"4 BHK 2,666 - 2,970 sq ft 
4 BHK (Simplex) 2,860 sq ft 
6 BHK (Duplex) 5,295 sq ft                                 PRICE ON REQUEST",RTM,
AMBUJA UTPALAA,"Mukundapur, EM Bypass",10.58 Acres,6,B+G+26,576,,"3BHK+2T/3T-  1,698 - 2,250 sq ft (₹ 2.34 Cr Onwards)
4BHK+3T/4T- 2,678 - 2,817 sq ft (₹ 3.74 Cr Onwards)
Duplex- 2,527 - 4,231 sq ft (₹ 3.48 Cr Onwards)
4BHK+4T/6T- 2,693 - 4,231 sq ft (₹ 4.30 Cr Onwards)
5BHK+7T(Duplex)- 4,985 - 5,145 sq ft (₹ 8 Cr Onwards)",UC,WBRERA/P/KOL/2025/002427
AMBUJA UDYATT," Chingrighata, EM Bypass", 2.70 Acres, 1,G+31,94,,"3BHK- 3,438 - 3,600 sq ft (₹ 4.50 Cr Onwards)
4BHK- 3,438 - 3,613 sq ft (₹ 4.50 Cr Onwards)",UC,WBRERA/P/KOL/2026/003902
EDEN DEVPRAYAG,Near Shalimar Station,9 Acres,5,B+G+28,186,,"2.5BHK- 1,290 sq ft (₹ 1.27 Cr Onwards)
2BHK(Duplex)- 1,455 sq ft (₹ 1.42 Cr Onwards)
3BHK- 1,565 - 1,820 sq ft (₹ 1.53 Cr - 1.76 Cr)
4BHK- 2,300 - 2,395 sq ft (₹ 2.20 Cr - 2.29 Cr)
4BHK(Duplex)- 3,005 - 3,080 sq ft (₹ 2.85 Cr - 2.92 Cr)
5BHK- 3,555 sq ft (₹ 3.36 Cr Onwards)","UC, DEC 2030",Pravah: WBRERA/P/HOW/2025/003782
MERLIN IVY,"Beleghata, EM Bypass",31 Cottahs,1,G+12,36,,"3BHK+3T- 1,295 - 1,539 sq ft (₹ 2 Cr Onwards)","UC, Apr 2029",WBRERA/P/KOL/2024/002124
SRIJAN TOWNSQUARE,"New Town, Action Area I",6.29 Acres, 7,B+G+15,332,,"3BHK+3T+Terrace- 2,362 - 2,567 sq ft (₹ 3.10 Cr - 3.50 Cr)
3BHK+3T- 1,917 - 1,952 sq ft (₹ 2.69 Cr - 3.25 Cr)
4BHK+3T- 2,581 - 3,031 sq ft (₹ 3.40 Cr - 4.25 Cr)","UC, Dec 2028",WBRERA/P/NOR/2023/000063
JEEVIKA,Laketown,108 Cottah,2,G+24, 128,,,"UC, Dec 2029",WBRERA/P/NOR/2025/002986
EMAMI AAMOD,"James Long Sarani, New Alipore",4.2 Acre,4,"G+25, G+17,G+21",233,,"3BHK- 2,243 - 2,633 sq ft (₹ 3.60 Cr - 4.20 Cr)
4BHK- 2,532 - 3,053 sq ft (₹ 4.30 Cr - 5.10 Cr)","UC, Apr 2032",WBRERA/P/KOL/2024/002136
PURTI TATSAM," Jogardanga More, Rajarhat",100 Katha,3,B+G+12,189,,"3BHK+2T- 1,278 - 1,428 sq ft (₹ 1.12 Cr Onwards)
3BHK+3T- 1,451 - 1,454 sq ft (₹ 1.27 Cr Onwards)
4BHK+3T- 1,788 sq ft (₹ 1.57 Cr Onwards)","UC, DEC 2030",WBRERA/P/NOR/2025/003198
SOHAM PRAVYA,"Jogardanga More, Rajarhat",220 Katha,5,"B+G+5, B+G+13",500,,"3BHK+2T- 1,389 - 1,507 sq ft (₹ 1.15 Cr Onwards)
3BHK+3T- 1,672 - 1,761 sq ft (₹ 1.37 Cr Onwards)
4BHK+3T- 2,050 - 2,143 sq ft (₹ 1.76 Cr Onwards)","UC, DEC 2030",WBRERA/P/NOR/2026/003900
DTC STILL WATERS,"Action Area III, New Town",5.1 Acre,3,"G+22, G+23",452,,"3BHK SMART- 1,160 sq ft (₹ 96 L Onwards)
3BHK- 1,340 - 1,550 sq ft (₹ 1.12 Cr Onwards)
4BHK- 2,030 sq ft (₹ 1.55 Cr Onwards)","UC, DEC 2030",WBRERA/P/SOU/2025/003379
